nom,age,ori,haut,poids,s20,s21,v20,v21,rupt,c20,c21,lig20,lig21,div20,div21
L. Perrin,22,France,187,71,8000.0,13000.0,2100000.0,1900000.0,,Olympique de Marseille,RC Strasbourg Alsace,French Ligue 1,French Ligue 1,1.0,1.0
T. Badaloni,21,Argentina,186,82,1000.0,5000.0,650000.0,3200000.0,5400000.0,Godoy Cruz,Godoy Cruz,Argentina Primera División,Argentina Primera División,1.0,1.0
A. Carrasquilla,22,Panama,170,64,1000.0,4000.0,1100000.0,3100000.0,,FC Cartagena,Houston Dynamo,Spanish Segunda División,USA Major League Soccer,2.0,1.0
Fernando Andrade,28,Brazil,181,78,8000.0,7000.0,1700000.0,1400000.0,,FC Porto,Al Fayha,Portuguese Liga ZON SAGRES,Saudi Abdul L. Jameel League,1.0,1.0
R. Giles,21,England,183,72,9000.0,20000.0,1100000.0,3000000.0,,Coventry City,Cardiff City,English League Championship,English League Championship,2.0,2.0
J. Garner,20,England,182,80,,26000.0,,3200000.0,,,Nottingham Forest,,English League Championship,,2.0
K. Scherpen,21,Netherlands,202,85,3000.0,12000.0,2100000.0,3000000.0,6300000.0,Ajax,Brighton & Hove Albion,Holland Eredivisie,English Premier League,1.0,1.0
M. Hiller,24,Germany,189,89,650.0,1000.0,2000000.0,2400000.0,4000000.0,TSV 1860 München,TSV 1860 München,German 3. Bundesliga,German 3. Bundesliga,3.0,3.0
Allan Sousa,24,Brazil,172,64,3000.0,5000.0,1300000.0,2100000.0,2800000.0,Vejle Boldklub,Vejle Boldklub,Danish Superliga,Danish Superliga,1.0,1.0
O. Darfalou,27,Algeria,184,80,7000.0,9000.0,1300000.0,1600000.0,2500000.0,Vitesse,Vitesse,Holland Eredivisie,Holland Eredivisie,1.0,1.0
O. Kanté,31,Guinea,182,81,4000.0,4000.0,1000000.0,950000.0,1700000.0,Paris FC,Paris FC,French Ligue 2,French Ligue 2,2.0,2.0
B. Stillhart,27,Switzerland,177,76,4000.0,6000.0,925000.0,1600000.0,2400000.0,FC St. Gallen 1879,FC St. Gallen 1879,Swiss Super League,Swiss Super League,1.0,1.0
Diogo Mendes,23,Portugal,182,76,,4000.0,,2900000.0,6700000.0,,Clube Sport Marítimo,,Portuguese Liga ZON SAGRES,,1.0
Jesús Jiménez,27,Spain,183,80,4000.0,5000.0,1900000.0,1500000.0,2000000.0,Górnik Zabrze,Górnik Zabrze,Polish T-Mobile Ekstraklasa,Polish T-Mobile Ekstraklasa,1.0,1.0
D. Undav,24,Germany,178,86,,8000.0,,2000000.0,3100000.0,,Royale Union Saint-Gilloise,,Belgian Jupiler Pro League,,1.0
Jorge Félix,29,Spain,175,68,12000.0,10000.0,1600000.0,1400000.0,2800000.0,Demir Grup Sivasspor,Demir Grup Sivasspor,Turkish Süper Lig,Turkish Süper Lig,1.0,1.0
A. Gojak,24,Bosnia and Herzegovina,184,75,500.0,500.0,2500000.0,2200000.0,5300000.0,Dinamo Zagreb,Dinamo Zagreb,Croatian Prva HNL,Croatian Prva HNL,1.0,1.0
