nom,age,ori,haut,poids,s20,s21,v20,v21,rupt,c20,c21,lig20,lig21,div20,div21
Jean,25,Brazil,188,90,,500.0,,2000000.0,4500000.0,,Club Cerro Porteño,,Paraguayan Primera División,,1.0
L. Rosić,28,Serbia,190,82,6000.0,9000.0,1600000.0,1900000.0,4100000.0,Moreirense FC,Moreirense FC,Portuguese Liga ZON SAGRES,Portuguese Liga ZON SAGRES,1.0,1.0
J. Esquivel,23,Mexico,179,74,6000.0,6000.0,3400000.0,2700000.0,5100000.0,Fútbol Club Juárez,Fútbol Club Juárez,Mexican Liga MX,Mexican Liga MX,1.0,1.0
F. Kadioglu,21,Netherlands,174,68,16000.0,20000.0,2900000.0,4200000.0,8800000.0,Fenerbahçe SK,Fenerbahçe SK,Turkish Süper Lig,Turkish Süper Lig,1.0,1.0
D. O'Shea,22,Republic of Ireland,188,74,18000.0,21000.0,2600000.0,3500000.0,7400000.0,West Bromwich Albion,West Bromwich Albion,English Premier League,English League Championship,1.0,2.0
R. Majecki,21,Poland,193,78,8000.0,13000.0,2500000.0,3200000.0,6700000.0,AS Monaco,AS Monaco,French Ligue 1,French Ligue 1,1.0,1.0
Domingos Quina,21,Portugal,175,66,6000.0,23000.0,2900000.0,4200000.0,,Watford,Fulham,English League Championship,English League Championship,2.0,2.0
B. Özcan,23,Turkey,178,72,14000.0,19000.0,2800000.0,4100000.0,9000000.0,İstanbul Başakşehir FK,İstanbul Başakşehir FK,Turkish Süper Lig,Turkish Süper Lig,1.0,1.0
J. Soñora,24,United States,174,73,6000.0,9000.0,2400000.0,2800000.0,4400000.0,Club Atlético Talleres,Club Atlético Banfield,Argentina Primera División,Argentina Primera División,1.0,1.0
T. Alarcón,22,Chile,174,68,,14000.0,,4000000.0,9600000.0,,Cádiz CF,,Spain Primera Division,,1.0
S. Szymański,22,Poland,174,60,,,,,,,,,,,
Alex Pozo,22,Spain,173,62,9000.0,13000.0,3400000.0,4000000.0,,Sevilla FC,Unión Deportiva Almería,Spain Primera Division,Spanish Segunda División,1.0,2.0
M. Gibbs-White,21,England,178,70,27000.0,31000.0,3800000.0,4200000.0,,Swansea City,Sheffield United,English League Championship,English League Championship,2.0,2.0
N. Ibáñez,26,Argentina,178,80,10000.0,13000.0,2100000.0,2200000.0,3900000.0,Club Atlético de San Luis,Pachuca,Mexican Liga MX,Mexican Liga MX,1.0,1.0
Jean,26,Brazil,183,80,,7000.0,,2300000.0,4900000.0,,Gil Vicente FC,,Portuguese Liga ZON SAGRES,,1.0
Y. Valery,22,France,180,85,23000.0,24000.0,5000000.0,4000000.0,8400000.0,Southampton,Southampton,English Premier League,English Premier League,1.0,1.0
G. Maggiore,23,Italy,184,69,5000.0,10000.0,2300000.0,2700000.0,5100000.0,Spezia,Spezia,Italian Serie A,Italian Serie A,1.0,1.0
M. Olivera,29,Uruguay,181,80,28000.0,8000.0,1700000.0,1600000.0,2700000.0,Fútbol Club Juárez,Fútbol Club Juárez,Mexican Liga MX,Mexican Liga MX,1.0,1.0
P. Hamel,27,France,189,76,20000.0,14000.0,2500000.0,2200000.0,,FC Lorient,Clermont Foot 63,French Ligue 1,French Ligue 1,1.0,1.0
Luis Muñoz,24,Spain,182,76,,6000.0,,3700000.0,6700000.0,,Málaga CF,,Spanish Segunda División,,2.0
A. Chatzigiovanis,24,Greece,175,62,600.0,600.0,3700000.0,3000000.0,7200000.0,Panathinaikos FC,Panathinaikos FC,Greek Super League,Greek Super League,1.0,1.0
Z. Youssouf,21,France,182,81,14000.0,14000.0,4100000.0,3000000.0,6600000.0,AS Saint-Étienne,AS Saint-Étienne,French Ligue 1,French Ligue 1,1.0,1.0
J. Léa Siliki,25,Cameroon,183,73,29000.0,25000.0,4600000.0,2700000.0,,Stade Rennais FC,Middlesbrough,French Ligue 1,English League Championship,1.0,2.0
O. Zubkov,24,Ukraine,182,71,,700.0,,2600000.0,5900000.0,,Ferencvárosi TC,,Hungarian Nemzeti Bajnokság I,,1.0
G. Weissbeck,24,France,177,70,2000.0,5000.0,1600000.0,3800000.0,7400000.0,FC Sochaux-Montbéliard,FC Sochaux-Montbéliard,French Ligue 2,French Ligue 2,2.0,2.0
L. Blessing,24,Ghana,160,64,5000.0,5000.0,2200000.0,2700000.0,4300000.0,Los Angeles FC,Los Angeles FC,USA Major League Soccer,USA Major League Soccer,1.0,1.0
M. Mitrović,27,Croatia,187,85,16000.0,14000.0,2700000.0,2100000.0,3100000.0,Club Brugge KV,Club Brugge KV,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
Yuri Ribeiro,24,Portugal,180,77,30000.0,6000.0,4500000.0,2600000.0,3800000.0,Nottingham Forest,Legia Warszawa,English League Championship,Polish T-Mobile Ekstraklasa,2.0,1.0
J. Ebobisse,24,United States,183,79,5000.0,6000.0,3600000.0,3800000.0,6300000.0,Portland Timbers,San Jose Earthquakes,USA Major League Soccer,USA Major League Soccer,1.0,1.0
J. Yueill,24,United States,178,74,4000.0,5000.0,3300000.0,2700000.0,4100000.0,San Jose Earthquakes,San Jose Earthquakes,USA Major League Soccer,USA Major League Soccer,1.0,1.0
G. Blanco Leschuk,29,Argentina,190,88,13000.0,13000.0,1900000.0,1900000.0,,Real Oviedo,SD Eibar,Spanish Segunda División,Spanish Segunda División,2.0,2.0
K. Dewsbury-Hall,22,England,177,70,9000.0,42000.0,900000.0,4200000.0,8800000.0,Leicester City,Leicester City,English Premier League,English Premier League,1.0,1.0
H. Delcroix,22,Belgium,185,75,3000.0,11000.0,1200000.0,3500000.0,6000000.0,RSC Anderlecht,RSC Anderlecht,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
Jorge Cuenca,21,Spain,190,75,5000.0,12000.0,1300000.0,3900000.0,,Villarreal CF,Getafe CF,Spain Primera Division,Spain Primera Division,1.0,1.0
A. Pascanu,22,Romania,187,80,4000.0,9000.0,2400000.0,3900000.0,,SD Ponferradina,SD Ponferradina,Spanish Segunda División,Spanish Segunda División,2.0,2.0
L. Mothiba,25,South Africa,182,76,19000.0,16000.0,3700000.0,2800000.0,5800000.0,RC Strasbourg Alsace,RC Strasbourg Alsace,French Ligue 1,French Ligue 1,1.0,1.0
Y. Maruhashi,30,Japan,178,73,7000.0,6000.0,2100000.0,1600000.0,2100000.0,Cerezo Osaka,Cerezo Osaka,Japanese J. League Division 1,Japanese J. League Division 1,1.0,1.0
A. Guðmundsson,24,Iceland,177,80,5000.0,7000.0,2800000.0,3000000.0,5100000.0,AZ Alkmaar,AZ Alkmaar,Holland Eredivisie,Holland Eredivisie,1.0,1.0
J. Elliott,25,England,196,82,4000.0,5000.0,2100000.0,2200000.0,3500000.0,Philadelphia Union,Philadelphia Union,USA Major League Soccer,USA Major League Soccer,1.0,1.0
E. Löwen,24,Germany,188,91,28000.0,22000.0,4800000.0,2800000.0,,FC Augsburg,VfL Bochum 1848,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
A. Sigurðsson,22,Iceland,177,75,21000.0,24000.0,4200000.0,4200000.0,,PFC CSKA Moscow,Venezia FC,Russian Premier League,Italian Serie A,1.0,1.0
I. Chair,23,Morocco,171,64,4000.0,11000.0,2700000.0,3000000.0,6300000.0,Queens Park Rangers,Queens Park Rangers,English League Championship,English League Championship,2.0,2.0
A. Bassi,23,Morocco,173,69,3000.0,11000.0,2700000.0,3000000.0,6600000.0,AS Nancy Lorraine,FC Metz,French Ligue 2,French Ligue 1,2.0,1.0
M. Kaye,26,Canada,186,77,6000.0,6000.0,2700000.0,2400000.0,3800000.0,Los Angeles FC,Colorado Rapids,USA Major League Soccer,USA Major League Soccer,1.0,1.0
J. Bataille,22,Belgium,181,71,4000.0,11000.0,3000000.0,4000000.0,6800000.0,KV Oostende,Royal Antwerp FC,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
C. Zimmermann,28,Germany,194,92,8000.0,21000.0,2000000.0,1600000.0,3200000.0,Norwich City,Norwich City,English League Championship,English Premier League,2.0,1.0
D. de Wit,23,Netherlands,184,75,5000.0,7000.0,2200000.0,2900000.0,4900000.0,AZ Alkmaar,AZ Alkmaar,Holland Eredivisie,Holland Eredivisie,1.0,1.0
R. Hack,22,Germany,176,68,9000.0,14000.0,9500000.0,4200000.0,8400000.0,1. FC Nürnberg,DSC Arminia Bielefeld,German 2. Bundesliga,German 1. Bundesliga,2.0,1.0
Jordi Mboula,22,Spain,183,74,4000.0,14000.0,3100000.0,4200000.0,10100000.0,RCD Mallorca,RCD Mallorca,Spanish Segunda División,Spain Primera Division,2.0,1.0
Hélder Ferreira,24,Portugal,179,70,4000.0,7000.0,1800000.0,3000000.0,6900000.0,FC Paços de Ferreira,FC Paços de Ferreira,Portuguese Liga ZON SAGRES,Portuguese Liga ZON SAGRES,1.0,1.0
J. Álvarez,25,Argentina,176,72,9000.0,10000.0,3000000.0,2500000.0,3900000.0,Club Atlético Banfield,Club Atlético Banfield,Argentina Primera División,Argentina Primera División,1.0,1.0
K. Rezaei,29,Iran,185,79,18000.0,11000.0,1900000.0,1900000.0,2900000.0,Royal Charleroi S.C.,Oud-Heverlee Leuven,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
A. Cervantes,23,Mexico,181,68,8000.0,11000.0,1400000.0,3900000.0,7400000.0,Santos Laguna,Santos Laguna,Mexican Liga MX,Mexican Liga MX,1.0,1.0
E. Zhegrova,22,Kosovo,174,66,,9000.0,,4200000.0,7100000.0,,FC Basel 1893,,Swiss Super League,,1.0
B. Acosta,27,Honduras,173,73,6000.0,6000.0,2200000.0,2000000.0,3000000.0,FC Dallas,FC Dallas,USA Major League Soccer,USA Major League Soccer,1.0,1.0
N. Raskin,20,Belgium,179,74,4000.0,8000.0,2900000.0,4500000.0,7700000.0,Standard de Liège,Standard de Liège,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
D. Khocholava,28,Georgia,192,92,550.0,13000.0,1800000.0,1900000.0,2600000.0,Shakhtar Donetsk,F.C. København,Ukrainian Premier League,Danish Superliga,1.0,1.0
E. Shomurodov,26,Uzbekistan,190,76,,31000.0,,2500000.0,4400000.0,,Roma,,Italian Serie A,,1.0
R. Aabid,29,France,178,71,4000.0,10000.0,600000.0,1600000.0,3100000.0,Atakaş Hatayspor,Yeni Malatyaspor,Turkish Süper Lig,Turkish Süper Lig,1.0,1.0
G. Vicario,24,Italy,188,76,8000.0,12000.0,2100000.0,2400000.0,,Cagliari,Empoli,Italian Serie A,Italian Serie A,1.0,1.0
K. Rüegg,22,Switzerland,173,77,12000.0,13000.0,5000000.0,4000000.0,7600000.0,Hellas Verona,Hellas Verona,Italian Serie A,Italian Serie A,1.0,1.0
C. Traoré,26,Mali,174,78,21000.0,4000.0,2400000.0,2100000.0,3900000.0,Racing Club de Lens,Dijon FCO,French Ligue 1,French Ligue 2,1.0,2.0
Y. Makarenko,30,Ukraine,184,84,12000.0,,1400000.0,,,KV Kortrijk,,Belgian Jupiler Pro League,,1.0,
Brenner,21,Brazil,175,70,,5000.0,,4200000.0,6900000.0,,FC Cincinnati,,USA Major League Soccer,,1.0
A. Gomes,20,England,168,56,6000.0,15000.0,2600000.0,4100000.0,8600000.0,Boavista FC,LOSC Lille,Portuguese Liga ZON SAGRES,French Ligue 1,1.0,1.0
E. Vignato,20,Italy,175,67,8000.0,14000.0,3000000.0,4100000.0,7800000.0,Bologna,Bologna,Italian Serie A,Italian Serie A,1.0,1.0
Y. Çetin,24,Turkey,189,90,10000.0,22000.0,2900000.0,3900000.0,,Hellas Verona,Hellas Verona,Italian Serie A,Italian Serie A,1.0,1.0
L. Reis,21,Netherlands,178,78,44000.0,7000.0,3800000.0,4200000.0,7600000.0,FC Barcelona,Hamburger SV,Spain Primera Division,German 2. Bundesliga,1.0,2.0
J. Sandoval,34,Uruguay,181,72,9000.0,9000.0,975000.0,700000.0,1100000.0,Argentinos Juniors,Argentinos Juniors,Argentina Primera División,Argentina Primera División,1.0,1.0
H. Traorè,21,Côte d'Ivoire,177,68,14000.0,14000.0,4500000.0,4600000.0,10700000.0,U.S. Sassuolo Calcio,U.S. Sassuolo Calcio,Italian Serie A,Italian Serie A,1.0,1.0
M. Yandaş,26,Turkey,174,73,38000.0,28000.0,3100000.0,2200000.0,4300000.0,Fenerbahçe SK,Fenerbahçe SK,Turkish Süper Lig,Turkish Süper Lig,1.0,1.0
T. Mitchell,21,England,180,70,7000.0,20000.0,1300000.0,4000000.0,8400000.0,Crystal Palace,Crystal Palace,English Premier League,English Premier League,1.0,1.0
M. Melluso,23,Argentina,170,63,9000.0,9000.0,4000000.0,4000000.0,6800000.0,Gimnasia y Esgrima La Plata,Gimnasia y Esgrima La Plata,Argentina Primera División,Argentina Primera División,1.0,1.0
J. Moreno,27,Venezuela,174,70,5000.0,5000.0,1900000.0,1900000.0,3000000.0,D.C. United,D.C. United,USA Major League Soccer,USA Major League Soccer,1.0,1.0
D. Vavro,25,Slovakia,189,81,24000.0,27000.0,3500000.0,3400000.0,6500000.0,Lazio,Lazio,Italian Serie A,Italian Serie A,1.0,1.0
F. Carballo,24,Uruguay,177,72,750.0,750.0,4100000.0,2800000.0,6400000.0,Club Nacional de Football,Club Nacional de Football,Uruguayan Primera División,Uruguayan Primera División,1.0,1.0
N. Maraš,25,Serbia,189,79,5000.0,7000.0,3300000.0,2600000.0,,Unión Deportiva Almería,Rayo Vallecano,Spanish Segunda División,Spain Primera Division,2.0,1.0
R. Amaral,24,Uruguay,178,83,950.0,500.0,4800000.0,2700000.0,6000000.0,Club Nacional de Football,Centro Atlético Fénix,Uruguayan Primera División,Uruguayan Primera División,1.0,1.0
Dani Martín,22,Spain,187,77,6000.0,9000.0,3100000.0,3600000.0,,Real Betis Balompié,Málaga CF,Spain Primera Division,Spanish Segunda División,1.0,2.0
J. Paintsil,23,Ghana,168,66,9000.0,10000.0,3200000.0,3800000.0,6500000.0,MKE Ankaragücü,KRC Genk,Turkish Süper Lig,Belgian Jupiler Pro League,1.0,1.0
A. Obispo,22,Netherlands,185,79,6000.0,9000.0,2900000.0,3900000.0,6200000.0,PSV,PSV,Holland Eredivisie,Holland Eredivisie,1.0,1.0
O. Moruțan,22,Romania,172,71,5000.0,27000.0,3000000.0,4200000.0,9200000.0,FCSB (Steaua),Galatasaray SK,Romanian Liga I,Turkish Süper Lig,1.0,1.0
Š. Falta,28,Czech Republic,182,70,,850.0,,1900000.0,4200000.0,,FC Viktoria Plzeň,,Czech Republic Gambrinus Liga,,1.0
H. De La Fuente,24,Argentina,177,73,9000.0,5000.0,4000000.0,2500000.0,5400000.0,Vélez Sarsfield,Futebol Clube de Famalicão,Argentina Primera División,Portuguese Liga ZON SAGRES,1.0,1.0
S. Barreto,22,Argentina,183,77,3000.0,8000.0,1400000.0,3500000.0,6000000.0,Club Atlético Independiente,Club Atlético Independiente,Argentina Primera División,Argentina Primera División,1.0,1.0
Vagner,25,Cape Verde Islands,169,67,9000.0,13000.0,2800000.0,2800000.0,,FC Metz,FC Sion,French Ligue 1,Swiss Super League,1.0,1.0
A. Lotti,25,Argentina,179,70,3000.0,9000.0,775000.0,2800000.0,4400000.0,Atlético Tucumán,Atlético Tucumán,Argentina Primera División,Argentina Primera División,1.0,1.0
M. Ashimeru,23,Ghana,182,72,15000.0,12000.0,3800000.0,3700000.0,6300000.0,FC Red Bull Salzburg,RSC Anderlecht,Austrian Football Bundesliga,Belgian Jupiler Pro League,1.0,1.0
J. Sargent,21,United States,185,79,10000.0,18000.0,3400000.0,4200000.0,9200000.0,SV Werder Bremen,Norwich City,German 1. Bundesliga,English Premier League,1.0,1.0
H. Evjen,21,Norway,173,65,6000.0,6000.0,4100000.0,4200000.0,7100000.0,AZ Alkmaar,AZ Alkmaar,Holland Eredivisie,Holland Eredivisie,1.0,1.0
L. Ferguson,21,Scotland,181,75,3000.0,5000.0,3200000.0,4200000.0,8200000.0,Aberdeen,Aberdeen,Scottish Premiership,Scottish Premiership,1.0,1.0
C. Cándido,26,Uruguay,174,65,600.0,800.0,1900000.0,2300000.0,5200000.0,Liverpool Fútbol Club,Club Nacional de Football,Uruguayan Primera División,Uruguayan Primera División,1.0,1.0
Jorge Fernandes,24,Portugal,191,91,3000.0,6000.0,1600000.0,3500000.0,8100000.0,Vitória de Guimarães,Vitória de Guimarães,Portuguese Liga ZON SAGRES,Portuguese Liga ZON SAGRES,1.0,1.0
F. Plach,29,Slovakia,192,80,5000.0,5000.0,1400000.0,1400000.0,2000000.0,Piast Gliwice,Piast Gliwice,Polish T-Mobile Ekstraklasa,Polish T-Mobile Ekstraklasa,1.0,1.0
N. Okafor,21,Switzerland,185,85,13000.0,13000.0,4100000.0,4200000.0,7100000.0,FC Red Bull Salzburg,FC Red Bull Salzburg,Austrian Football Bundesliga,Austrian Football Bundesliga,1.0,1.0
C. Cásseres Jr,21,Venezuela,175,68,2000.0,4000.0,2800000.0,4000000.0,6600000.0,New York Red Bulls,New York Red Bulls,USA Major League Soccer,USA Major League Soccer,1.0,1.0
J. Vagnoman,20,Germany,187,86,4000.0,7000.0,3500000.0,3900000.0,7000000.0,Hamburger SV,Hamburger SV,German 2. Bundesliga,German 2. Bundesliga,2.0,2.0
H. Marcelin,21,France,197,82,7000.0,18000.0,1500000.0,3900000.0,8200000.0,KSV Cercle Brugge,AS Monaco,Belgian Jupiler Pro League,French Ligue 1,1.0,1.0
M. Frendrup,20,Denmark,178,70,3000.0,7000.0,1900000.0,3900000.0,5700000.0,Brøndby IF,Brøndby IF,Danish Superliga,Danish Superliga,1.0,1.0
M. Vandevoordt,19,Belgium,190,79,550.0,3000.0,2700000.0,4300000.0,9100000.0,KRC Genk,KRC Genk,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
N. Bancu,28,Romania,178,65,7000.0,10000.0,1800000.0,1700000.0,2300000.0,Universitatea Craiova,Universitatea Craiova,Romanian Liga I,Romanian Liga I,1.0,1.0
M. Trávník,27,Czech Republic,174,68,650.0,750.0,2400000.0,2100000.0,,AC Sparta Praha,Kasimpaşa SK,Czech Republic Gambrinus Liga,Turkish Süper Lig,1.0,1.0
Alberto Soro,22,Spain,173,63,10000.0,13000.0,3900000.0,4200000.0,9700000.0,Granada CF,Granada CF,Spain Primera Division,Spain Primera Division,1.0,1.0
T. Băluță,22,Romania,188,80,21000.0,25000.0,4000000.0,4000000.0,8400000.0,Brighton & Hove Albion,Brighton & Hove Albion,English Premier League,English Premier League,1.0,1.0
Rafael Camacho,21,Portugal,175,65,9000.0,7000.0,7500000.0,4200000.0,,Sporting CP,Belenenses SAD,Portuguese Liga ZON SAGRES,Portuguese Liga ZON SAGRES,1.0,1.0
Lee Dong Jun,24,Korea Republic,173,65,2000.0,8000.0,1100000.0,3000000.0,4500000.0,Busan IPark,Ulsan Hyundai FC,Korean K League 1,Korean K League 1,1.0,1.0
Lisandro Semedo,25,Cape Verde Islands,175,74,5000.0,9000.0,1900000.0,2500000.0,3800000.0,Fortuna Sittard,Fortuna Sittard,Holland Eredivisie,Holland Eredivisie,1.0,1.0
S. Walukiewicz,21,Poland,188,85,8000.0,13000.0,2700000.0,3900000.0,7400000.0,Cagliari,Cagliari,Italian Serie A,Italian Serie A,1.0,1.0
M. Müldür,22,Turkey,188,74,13000.0,15000.0,4000000.0,4000000.0,7600000.0,U.S. Sassuolo Calcio,U.S. Sassuolo Calcio,Italian Serie A,Italian Serie A,1.0,1.0
Mujaid,21,Spain,183,81,,7000.0,,3900000.0,6600000.0,,KRC Genk,,Belgian Jupiler Pro League,,1.0
Óscar Valentín,26,Spain,177,72,4000.0,12000.0,1800000.0,2200000.0,5000000.0,Rayo Vallecano,Rayo Vallecano,Spanish Segunda División,Spain Primera Division,2.0,1.0
L. Openda,21,Belgium,174,78,11000.0,13000.0,3500000.0,4200000.0,,Vitesse,Vitesse,Holland Eredivisie,Holland Eredivisie,1.0,1.0
M. Longstaff,21,England,171,65,20000.0,18000.0,5500000.0,4200000.0,,Newcastle United,Aberdeen,English Premier League,Scottish Premiership,1.0,1.0
Gonzalo Verdú,32,Spain,185,80,6000.0,12000.0,700000.0,1200000.0,2500000.0,Elche CF,Elche CF,Spain Primera Division,Spain Primera Division,1.0,1.0
J. Vuković,29,Croatia,184,76,7000.0,700.0,1800000.0,1600000.0,3500000.0,Clube Sport Marítimo,Hajduk Split,Portuguese Liga ZON SAGRES,Croatian Prva HNL,1.0,1.0
Ale Díez,25,Spain,175,74,5000.0,6000.0,2400000.0,2600000.0,4400000.0,Unión Deportiva Las Palmas,Unión Deportiva Las Palmas,Spanish Segunda División,Spanish Segunda División,2.0,2.0
D. Kyereh,25,Germany,179,73,5000.0,12000.0,1700000.0,2800000.0,4600000.0,FC St. Pauli,FC St. Pauli,German 2. Bundesliga,German 2. Bundesliga,2.0,2.0
Luquinhas,24,Brazil,166,67,9000.0,7000.0,3700000.0,2900000.0,4300000.0,Legia Warszawa,Legia Warszawa,Polish T-Mobile Ekstraklasa,Polish T-Mobile Ekstraklasa,1.0,1.0
J. Bijol,22,Slovenia,190,85,10000.0,20000.0,3400000.0,4000000.0,7200000.0,Hannover 96,PFC CSKA Moscow,German 2. Bundesliga,Russian Premier League,2.0,1.0
J. Burkardt,20,Germany,181,76,5000.0,13000.0,1700000.0,4100000.0,8200000.0,1. FSV Mainz 05,1. FSV Mainz 05,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
S. Moharrami,25,Iran,174,71,500.0,550.0,2000000.0,2300000.0,5200000.0,Dinamo Zagreb,Dinamo Zagreb,Croatian Prva HNL,Croatian Prva HNL,1.0,1.0
F. Benković,23,Croatia,194,91,46000.0,38000.0,8000000.0,2700000.0,5700000.0,Leicester City,Leicester City,English Premier League,English Premier League,1.0,1.0
M. Vrousai,22,Greece,183,78,,800.0,,3800000.0,8700000.0,,Olympiacos CFP,,Greek Super League,,1.0
G. Fuentes,24,Colombia,180,74,2000.0,2000.0,4000000.0,2600000.0,3800000.0,Junior FC,Junior FC,Colombian Liga Postobón,Colombian Liga Postobón,1.0,1.0
J. Vásquez,22,Mexico,185,72,4000.0,7000.0,2800000.0,3900000.0,,Club Universidad Nacional,Genoa,Mexican Liga MX,Italian Serie A,1.0,1.0
A. Besedin,25,Ukraine,185,76,,700.0,,2600000.0,5900000.0,,Dynamo Kyiv,,Ukrainian Premier League,,1.0
M. Camara,23,Guinea,191,81,5000.0,9000.0,1500000.0,3900000.0,6600000.0,BSC Young Boys,BSC Young Boys,Swiss Super League,Swiss Super League,1.0,1.0
B. Mykhaylichenko,24,Ukraine,179,74,10000.0,11000.0,2200000.0,2500000.0,3900000.0,RSC Anderlecht,RSC Anderlecht,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
M. Erlić,23,Croatia,193,88,4000.0,15000.0,1500000.0,2400000.0,,Spezia,Spezia,Italian Serie A,Italian Serie A,1.0,1.0
Pipa,23,Spain,176,72,12000.0,6000.0,3100000.0,3600000.0,7400000.0,Huddersfield Town,Huddersfield Town,English League Championship,English League Championship,2.0,2.0
K. Behrens,30,Germany,184,84,6000.0,20000.0,1600000.0,1800000.0,3200000.0,SV Sandhausen,1. FC Union Berlin,German 2. Bundesliga,German 1. Bundesliga,2.0,1.0
M. Havel,26,Czech Republic,183,77,700.0,650.0,2900000.0,2000000.0,4600000.0,FC Viktoria Plzeň,FC Viktoria Plzeň,Czech Republic Gambrinus Liga,Czech Republic Gambrinus Liga,1.0,1.0
P. Musa,23,Croatia,190,81,750.0,650.0,5500000.0,3800000.0,,SK Slavia Praha,Boavista FC,Czech Republic Gambrinus Liga,Portuguese Liga ZON SAGRES,1.0,1.0
Ivanildo Fernandes,25,Portugal,193,83,,4000.0,,2500000.0,5400000.0,,FC Vizela,,Portuguese Liga ZON SAGRES,,1.0
M. Loum,24,Senegal,188,80,8000.0,7000.0,4900000.0,3900000.0,,FC Porto,Deportivo Alavés,Portuguese Liga ZON SAGRES,Spain Primera Division,1.0,1.0
A. Moreno,22,Argentina,177,70,2000.0,9000.0,975000.0,4200000.0,,Newell's Old Boys,Racing Club,Argentina Primera División,Argentina Primera División,1.0,1.0
S. Giménez,20,Mexico,182,69,7000.0,29000.0,1100000.0,4500000.0,10500000.0,Cruz Azul,Cruz Azul,Mexican Liga MX,Mexican Liga MX,1.0,1.0
F. Russo,26,Argentina,185,78,3000.0,15000.0,1900000.0,2300000.0,5200000.0,RCD Mallorca,RCD Mallorca,Spanish Segunda División,Spain Primera Division,2.0,1.0
A. Estupiñán,26,Colombia,175,72,,2000.0,,2000000.0,2700000.0,,Club Deportes Tolima,,Colombian Liga Postobón,,1.0
V. Supriaha,21,Ukraine,182,75,500.0,550.0,3900000.0,4200000.0,10100000.0,Dynamo Kyiv,Dynamo Kyiv,Ukrainian Premier League,Ukrainian Premier League,1.0,1.0
N. Rasskazov,23,Russia,180,73,24000.0,24000.0,4000000.0,2600000.0,4400000.0,Spartak Moskva,Spartak Moskva,Russian Premier League,Russian Premier League,1.0,1.0
J. Lindstrøm,21,Denmark,182,63,3000.0,13000.0,950000.0,4600000.0,10700000.0,Brøndby IF,Eintracht Frankfurt,Danish Superliga,German 1. Bundesliga,1.0,1.0
E. Le Fée,21,France,170,58,7000.0,9000.0,2500000.0,4200000.0,9200000.0,FC Lorient,FC Lorient,French Ligue 1,French Ligue 1,1.0,1.0
N. Ferraresi,22,Venezuela,189,80,2000.0,5000.0,1200000.0,3900000.0,9000000.0,Moreirense FC,Estoril Praia,Portuguese Liga ZON SAGRES,Portuguese Liga ZON SAGRES,1.0,1.0
J. Novillo,23,Argentina,190,85,,10000.0,,2600000.0,4100000.0,,Racing Club,,Argentina Primera División,,1.0
G. Mensah,22,Ghana,178,64,,13000.0,,3600000.0,,,FC Girondins de Bordeaux,,French Ligue 1,,1.0
D. Hotić,25,Bosnia and Herzegovina,168,69,8000.0,8000.0,2600000.0,2500000.0,3800000.0,KSV Cercle Brugge,KSV Cercle Brugge,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
A. Bella Kotchap,19,Germany,190,87,900.0,8000.0,1000000.0,4200000.0,10200000.0,VfL Bochum 1848,VfL Bochum 1848,German 2. Bundesliga,German 1. Bundesliga,2.0,1.0
André Almeida,21,Portugal,176,70,2000.0,6000.0,1200000.0,4200000.0,9700000.0,Vitória de Guimarães,Vitória de Guimarães,Portuguese Liga ZON SAGRES,Portuguese Liga ZON SAGRES,1.0,1.0
G. González,26,Uruguay,173,73,950.0,750.0,3700000.0,2300000.0,5100000.0,Club Atlético Peñarol,Club Atlético Peñarol,Uruguayan Primera División,Uruguayan Primera División,1.0,1.0
A. Burcă,28,Romania,187,82,8000.0,11000.0,1800000.0,1900000.0,2800000.0,CFR Cluj,CFR Cluj,Romanian Liga I,Romanian Liga I,1.0,1.0
Song Min Kyu,21,Korea Republic,179,72,1000.0,6000.0,1200000.0,4200000.0,6300000.0,Pohang Steelers,Jeonbuk Hyundai Motors,Korean K League 1,Korean K League 1,1.0,1.0
S. Boey,20,France,178,70,5000.0,21000.0,1600000.0,3900000.0,8600000.0,Stade Rennais FC,Galatasaray SK,French Ligue 1,Turkish Süper Lig,1.0,1.0
M. Fall,33,Senegal,192,87,,2000.0,,900000.0,1200000.0,,Mumbai City FC,,Indian Super League,,1.0
N. Collins,20,Republic of Ireland,193,81,2000.0,14000.0,975000.0,3800000.0,8000000.0,Stoke City,Burnley,English League Championship,English Premier League,2.0,1.0
Vivian,21,Spain,183,83,4000.0,11000.0,1600000.0,3900000.0,9000000.0,CD Mirandés,Athletic Club de Bilbao,Spanish Segunda División,Spain Primera Division,2.0,1.0
